EstablishmentName,Easting,Northing
St Mary's CofE Primary School,523670,175603
Trinity St Mary's CofE Primary School,528296,173119
St Mary's RC Voluntary Aided Primary School,528837,176954
St Michael's CofE Primary School,524889,173911
"Sacred Heart Catholic Primary School, Roehampton",522257,174642
Our Lady Queen of Heaven RC School,523701,173544
St Anselm's Catholic Primary School,528163,172354
Ernest Bevin College,527431,172548
Battersea Park School,527924,176527
Hillbrook School,528119,171797
Burntwood School,526616,172577
Ibstock Place School,521520,174288
Merlin School,524005,174649
Hurlingham School,524512,175308
Willington School,524889,171025
Putney Park School,522766,175138
Emanuel School,527042,174633
Putney High School,523900,174602
Waldorf School of South West London,529608,171393
Broomwood Hall School,528034,173974
The Roche School,525314,174895
Finton House School,527583,172931
The Dominie,528056,176680
Hornsby House School,528208,173365
Bertrum House School,528098,172561
Eveline Day School,528341,172882
Prospect House School,523728,173976
Newton Preparatory School,528870,176969
Dolphin School (Incorporating Noahs Ark Nursery Schools),527511,174727
Hall School Wimbledon,522190,172303
Lion House School,523592,175152
Eaton House the Manor School,528543,175257
Northcote Lodge School,527584,174151
Al-Risalah,527762,171982
Parkgate House School,528332,175241
Linden Lodge School,524284,173151
Oak Lodge School,528065,173793
Bradstow School,639432,167136
Greenmead School,522805,174823
Paddock School,521689,175313
Garratt Park School,526164,172467
Tachbrook Nursery School,529730,178159
Dorothy Gardner Centre,524835,182642
Mary Paterson Nursery School,524829,182547
Barrow Hill Junior School,527092,183132
Paddington Green Primary School,526509,182030
Churchill Gardens Community Primary School,529265,178131
Edward Wilson Primary School,525705,181829
Essendine Primary School,525311,182561
Gateway Primary School,526953,182355
Wilberforce Primary School,524383,182958
George Eliot Primary School,526535,183794
Hallfield Primary School,525940,181017
Robinsfield Infant School,527037,183464
Queen's Park Primary School,524394,182467
All Souls CofE Primary School,529242,181745
Burdett-Coutts and Townshend Foundation CofE Primary School,529548,179003
Hampden Gurney CofE Primary School,527459,181362
Our Lady of Dolours RC Primary School,525575,181820
St Augustine's CofE Primary School,525528,183286
St Barnabas' CofE Primary School,528421,178462
St Clement Danes CofE Primary School,530611,181081
St Edward's RC Primary School,527354,182085
St Gabriel's CofE Primary School,529064,178013
St George's Hanover Square CofE Primary School,528476,180499
Soho Parish CofE Primary School,529559,180851
St James's and St Michael's CofE Voluntary Aided Primary School,526422,180910
St Joseph's RC Primary School,526196,182511
St Luke's CofE Primary School,524741,183012
St Mary Magdalene CofE Primary School,525683,181957
St Mary's Bryanston Square CofE School,527546,181766
St Mary of the Angels RC Primary School,525132,181428
"St Matthew's School, Westminster",529827,179261
St Peter's CofE School,525183,182121
St Peter's Eaton Square CofE Primary School,528736,179092
St Saviour's CofE Primary School,525889,182081
St Stephen's CofE Primary School,525274,181553
St Vincent's RC Primary School,528270,181584
St Vincent de Paul RC Primary School,529206,179068
Westminster Cathedral RC Primary School,529777,178296
Christ Church Bentinck CofE Primary School,527312,181875
St Augustine's CofE High School,525469,183256
Arnold House School,526561,183245
Queen's College London,528666,181576
Francis Holland School,527724,182244
Westminster Abbey Choir School,529927,179412
Eaton House School,528183,178867
Francis Holland School,528263,178574
Westminster School,530047,179360
Gems Hampshire School,527144,179533
Connaught House School,527570,181036
Westminster Under School,529634,178630
Westminster Cathedral Choir School,529231,179110
The American School in London,526542,183346
St Christina's School,527431,183481
International Community School,528286,182168
The Sylvia Young Theatre School,527584,181403
Fairley House School,529819,178495
St John's Wood Pre-Preparatory School,527164,182912
Centre Academy London,526882,175144
Naima Jewish Preparatory School,525633,183266
Abercorn School,527475,181860
Eaton Square School,529044,178732
Bales College,523896,182571
College Park School,525551,181088
Queen Elizabeth II Jubilee School,524809,182251
The James Cambell Primary School,547691,184072
Dorothy Barley Junior School and Special Needs Base (MLD),546774,185234
Dorothy Barley Infants' School,546774,185234
Eastbury Primary School,545822,184040
Manor Junior School,545828,184731
Manor Infants' School/Manor Longbridge,545828,184731
Northbury Junior School,544013,184537
Northbury Infants' School,544013,184537
Ripple Primary School,545104,183966
Beam Primary School,550210,183257
Furze Infants' School,548410,188015
Grafton Primary School,548487,186607
Marks Gate Infants' School,548194,189545
Marsh Green Primary School,549365,183556
Rush Green Junior School,550976,187161
Rush Green Infants' School,550932,187209
The Leys Primary School,550461,184093
Warren Junior School,548573,188552
Thomas Arnold Primary School,548866,184187
Valence Primary School,547891,186499
Village Infants' School,549383,184397
Marks Gate Junior School,548069,189608
Thames View Junior School,546165,183070
William Bellamy Primary School,549437,186675
Parsloes Primary School,548794,184928
Five Elms Primary School,548829,186204
Henry Green Primary School,547581,186917
Roding Primary School,547522,185528
Becontree Primary School,546884,186340
John Perry Primary School,550639,184798
St Margarets CofE Primary School,544043,184012
William Ford CofE Primary School,549383,184397
St Joseph's Catholic Primary School,544156,183775
St Joseph's Catholic Primary School,548737,185898
St Peter's Catholic Primary School,548838,183622
The St Teresa Catholic Primary School,547411,185611
St Vincent's Catholic Primary School,547206,186684
The Warren Comprehensive School,548476,188616
"Barking Abbey School, A Specialist Sports and Humanities College",545828,184731
Eastbrook Comprehensive School,550112,185839
Eastbury Comprehensive School,545048,184690
Robert Clack School,548825,186950
The Sydney Russell School,547963,185474
All Saints Catholic School and Technology College,549215,187064
Brookhill Nursery School,527087,195626
Hampden Way Nursery School,528689,194167
Moss Hall Nursery School,525668,191761
St Margaret's Nursery School,526828,196062
Pavilion Study Centre,526783,194420
Parkfield Primary School,522584,187917
Barnfield Primary School,520286,190526
Bell Lane Primary School,523677,189134
Brookland Junior School,525598,189486
Brookland Infant and Nursery School,525598,189486
Brunswick Park Primary and Nursery School,528271,194004
Childs Hill School,524390,186337
Church Hill School,527487,194545
Colindale Primary School,521535,189221
Coppetts Wood Primary School,528083,190944
Courtland School,521053,193499
Cromer Road Primary School,526107,196508
Deansbrook Junior School,520522,191904
Deansbrook Infant School,520522,191904
Dollis Infant School,523053,191451
Edgware Junior School,519523,191548
Edgware Infant School,519378,191512
Fairway Primary School and Children's Centre,520747,193496
Foulds School,523906,196826
Frith Manor Primary School,524584,192216
Garden Suburb Junior School,524978,188877
Garden Suburb Infant School,524978,188877
Goldbeaters Primary School,520791,190910
Hollickwood Primary School,528626,191205
Holly Park Primary School,528107,192524
Livingstone Primary and Nursery School,526921,196783
Manorside Primary School,526076,190672
Monkfrith Primary School,528377,194732
Moss Hall Junior School,525719,191679
Moss Hall Infant School,525719,191679
Northside Primary School,526149,192370
Summerside Primary School,526931,191657
Woodridge Primary School,525135,193224
Tudor Primary School,526318,190626
Underhill Junior School,524264,195593
Underhill Infant School,524264,195593
Whitings Hill Primary School,523382,195582
Chalgrove Primary School,524324,189626
Sunnyfields Primary School,522591,189509
Queenswell Infant & Nursery School,526761,193616
Queenswell Junior School,526761,193616
Danegrove Primary School,527502,195470
All Saints' CofE Primary School NW2,524872,186340
Christ Church Primary School,523772,197077
Holy Trinity CofE Primary School,526979,189621
Monken Hadley CofE Primary School,525232,197563
St John's CofE Junior Mixed and Infant School,527783,192497
St John's CofE Primary School,526280,193561
St Mary's CofE Primary School,524746,190949
"St Mary's CofE Primary School, East Barnet",527317,195180
St Paul's CofE Primary School N11,528581,192454
St Paul's CofE Primary School NW7,522534,192785
"St Andrew's CofE Voluntary Aided Primary School, Totteridge",524931,193894
Trent CofE Primary School,527895,196294
All Saints' CofE Primary School N20,526917,193833
The Annunciation RC Infant School,520591,190759
Our Lady of Lourdes RC School,526420,190952
St Agnes RC School,524125,186126
St Catherine's RC School,525067,195987
St Vincent's Catholic Primary School,523095,192498
St Theresa's RC School,525580,189989
St Joseph's RC Infant School,522624,189086
St Joseph's RC Junior School,522624,189086
Sacred Heart Roman Catholic Primary School,527228,193996
Blessed Dominic RC School,521569,190463
Rosh Pinah Primary School,519803,193439
Menorah Primary School,524350,187703
The Annunciation RC Junior School,520712,191769
Friern Barnet School,527853,192405
Dollis Junior School,523053,191451
Osidge Primary School,529173,194444
St Mary's CofE High School,523162,189668
St Michael's Catholic Grammar School,526058,192177
Finchley Catholic High School,526022,193124
St James' Catholic High School,521928,190571
Bishop Douglass School Finchley,526275,189926
Mill Hill School Foundation,522249,193073
Hendon Preparatory School,523599,189538
King Alfred School,525868,187188
Lyonsdown School,526012,195759
The Mount School,522976,192225
St Martha's Senior School,525341,197604
Annemount School,526496,188342
Mathilda Marks-Kennedy Jewish Primary School,520922,192197
Golders Hill School,525131,187721
Goodwyn School,522178,192419
Holland House School,519587,192867
Kerem School,526619,188839
St Martin's School,521427,192238
Pardes House Grammar School,524942,190464
Kisharon Day School,524942,188200
Menorah Grammar School,520316,191325
Beth Jacob Grammar School for Girls,523564,189090
The North London International School,527536,192170
Brampton College,523260,189250
Oak Lodge School,526318,189421
Northway School,520648,193478
Oakleigh School & Acorn Assessment Centre,527540,193376
Mapledown School,523487,187609
Brampton Primary School,547941,176369
Crook Log Primary School,547838,175369
Danson Primary School,546456,175254
Eastcote Primary School,544831,175927
East Wickham Junior School,546123,176548
Gravel Hill Primary School,549770,175013
Hillsgrove Primary School,547170,177188
Hook Lane Primary School,546168,175745
Pelham Primary School,549396,175545
Upton Primary School,548454,174428
Mayplace Primary School,550631,175326
Slade Green Junior School,552330,177087
Bedonwell Junior School,548292,177759
Bedonwell Infant and Nursery School,548292,177759
Belmont Primary School,549142,177070
Lessness Heath Primary School,549310,178211
Belvedere Junior School,549861,179072
Birkbeck Primary School,546481,172429
Burnt Oak Junior School,546116,173056
Days Lane Primary School,545899,174138
Longlands Primary School,545413,172315
Slade Green Infant School,552330,177087
Dulverton Primary School,544704,172874
Bursted Wood Primary School,549645,176496
Parkway Primary School,548249,179254
Belvedere Infant School,549956,179092
Chatsworth Infant School,546420,173340
Jubilee Primary School,547334,180626
Northwood Primary School,548540,179207
Sherwood Park Primary School,546847,174111
Castilion Primary School,547307,181174
Royal Park Primary School,548120,172332
Hurst Primary School,547956,173514
Barrington Primary School,547665,176046
Normandy Primary School,550969,176679
Foster's Primary School,547493,175925
Old Bexley Church of England Primary School,548886,173437
Holy Trinity Lamorbey Church of England Primary School,546258,173015
St Paulinus Church of England Primary School,551293,175109
St Stephen's Catholic Primary School,546284,176040
Our Lady of the Rosary Catholic Primary School,545455,174139
St Joseph's Catholic Primary School,551010,175012
St Fidelis Catholic Primary School,550289,177625
St Thomas More Catholic Primary School,548695,176372
St John Fisher Catholic Primary School,548112,179495
St Peter Chanel Catholic Primary School,547304,171192
Barnehurst Infant School,550289,176697
Barnehurst Junior (Foundation) School,550235,176683
St Michael's East Wickham Church of England Voluntary Aided Primary School,547450,176622
West Lodge School,546219,172111
Merton Court School,546999,171526
Benedict House Preparatory School,546039,172061
Woodside School,549809,178886
Shenstone School,550978,175005
Marlborough School,546278,173491
Westbrooke School,547605,175798
Curzon Crescent Nursery School,521396,184393
Fawood Children's Centre,520575,184157
College Green Nursery School and Services,523020,183489
Granville Plus Nursery School,525081,183081
Anson Primary School,523551,185363
Brentfield Primary School,520547,184530
Byron Court Primary School,517138,186959
Carlton Vale Infant School,524936,182963
Harlesden Primary School,521137,183464
Mount Stewart Junior School,517838,187953
Mount Stewart Infant School,517772,187995
Uxendon Manor Primary School,518026,188544
Kingsbury Green Primary School,519977,188577
Leopold Primary School,521666,184295
Lyon Park Junior School,518822,184117
Lyon Park Infant School,518822,184117
Malorees Infant School,523968,184019
Northview Junior and Infant School,521591,185552
Park Lane Primary School,518377,185485
Preston Park Primary School,517958,187213
Roe Green Junior School,519786,189328
Roe Green Infant School,519786,189328
Barham Primary School,517505,184641
Wykeham Primary School,521071,186327
Elsley Primary School,518881,184714
Donnington Primary School,522602,184026
The Stonebridge School,520512,183840
Newfield Primary School,521873,184023
Kensal Rise Primary School,523722,183042
Mitchell Brook Primary School,521012,184771
Furness Primary School,522256,183121
Chalkhill Primary School,519973,186213
Salusbury Primary School,524562,183530
Oliver Goldsmith Primary School,520811,188560
Gladstone Park School,522573,185177
Mora Primary School,523143,185937
Fryent Primary School,520390,187901
Braintcroft Primary School,521772,186538
Christ Church CofE Primary School,524603,184020
John Keble CofE Primary School,521673,183577
Princess Frederica CofE Primary School,523191,183060
St Andrew and St Francis CofE Primary School,522423,184834
St Mary's CofE Primary School,521289,184721
Our Lady of Grace Catholic Junior School,522589,186206
St Joseph RC Junior School,518800,185082
St Mary Magdalen Catholic Junior School,522931,184693
St Robert Southwell RC Primary School,520098,188410
Convent of Jesus and Mary RC Infant School,523022,184716
Our Lady of Lourdes RC Primary School,520418,183856
St Joseph's RC Infant School,518816,185048
Our Lady of Grace RC Infant and Nursery School,523176,186533
St Margaret Clitherow RC Primary School,520508,185961
Michael Sobell Sinai School,519138,188145
Oakington Manor Primary School,519960,185118
North West London Jewish Day School,524137,184374
Malorees Junior School,523903,184046
St Joseph's Roman Catholic Primary School,521386,184266
The Kilburn Park School Foundation,524976,183008
Copland Community School,518587,185103
St Gregory RC High School,517552,188564
Newman Catholic College,522218,183549
Buckingham College Preparatory School,512955,187969
Buxlow Preparatory School,518199,186137
Gower House School,520397,186627
St Christopher's School,518914,186169
St Nicholas School,520260,186843
"Ysgol Gymraeg Llundain, The Welsh School London",520512,183840
Islamia Primary School,524372,183812
Islamia Girls' High School,524372,183812
Al-Sadiq and Al-Zahra Schools,524291,183852
The Swaminarayan School,520760,184703
Woodfield School,521103,187332
Phoenix Arch School,520536,185282
Manor School,523480,183473
The Village School,520242,189406
Bromley Pupil Referral Service,540858,168030
Alexandra Junior School,535952,170915
Alexandra Infant School,535971,170058
Bromley Road Infant School,537570,169614
Churchfields Primary School,535968,169207
Hawes Down Junior School,538909,166076
Hawes Down Infant School,538909,166076
Marian Vian Primary School,536074,167986
Oak Lodge Primary School,537549,166471
Wickham Common Primary School,540128,164832
Worsley Bridge Junior School,537322,170426
Burnt Ash Primary School,540044,171081
Princes Plain Primary School,542428,166644
Southborough Primary School,543289,167542
Mead Road Infant School,544184,170942
Red Hill Primary School,543518,171152
Mottingham Primary School,542749,172064
Castlecombe Primary School,542250,171446
Dorset Road Infant School,542188,172762
Chelsfield Primary School,548238,164217
Darrick Wood Junior School,543802,164935
Downe Primary School,543350,161795
Farnborough Primary School,544497,164204
Pratts Bottom Primary School,547345,161874
St Mary Cray Primary School,547207,167462
The Highway Primary School,547078,164431
Malcolm Primary School,535074,170377
Royston Primary School,535805,169952
James Dixon Primary School,534388,169775
Gray's Farm Primary School,546977,169671
Leesons Primary School,546538,168730
Midfield Primary School,546304,170044
Edgebury Primary School,544161,171654
Scotts Park Primary School,541307,169936
Oaklands Primary School,541217,159337
Clare House Primary School,538295,169170
Perry Hall Primary School,545845,167071
Poverest Primary School,546288,167923
Raglan Primary School,541482,168152
Keston Church of England Primary School,541578,164419
Parish Church of England Primary School,540189,170454
"St George's, Bickley, Church of England Primary School",541613,169084
Cudham Church of England Primary School,543297,159316
St Paul's Cray Church of England Primary School,547653,168586
St Mark's Church of England Primary School,540034,168617
Chislehurst (St Nicholas) Church of England Voluntary Aided Primary School,544251,170018
St John's Church of England Primary School,535339,170261
St Joseph's Catholic Primary School,540989,170054
St Vincent's Catholic Primary School,542165,171978
St Philomena's Roman Catholic Primary School,547305,166927
St Anthony's Roman Catholic Primary School,535068,169647
St Peter and St Paul Catholic Primary School,545462,169221
Holy Innocents Catholic Primary School,545698,165100
"St Mary's Catholic Primary School, Beckenham",538036,170350
Highfield Infants' School,539471,168333
Highfield Junior School,539328,168292
St Olave's and St Saviour's Grammar School,546558,165140
Babington House School,542607,170812
Bickley Park School,542275,168896
Bishop Challoner School,538945,169431
Breaside Preparatory School,541581,169851
Farringtons School,544956,170418
St Christophers The Hall School,538284,169385
St David's College,537909,166748
Bromley High School,543210,168259
Eltham College,541794,172968
Ashgrove School Ltd,540963,169466
Darul Uloom London,545057,170728
Marjorie McClure School,544319,169675
Glebe School,538913,165987
Crosfield Nursery School,534285,167830
Coulsdon Nursery School,528877,159432
Purley Nursery School,531478,161952
Tunstall Nursery School,533445,166142
The Coningsby Pupil Referral Unit,532730,164860
Victoria House PRU,531998,164894
Benson Primary and Nursery School,536366,165280
Beulah Junior School,532319,168968
Beulah Infants' School,532341,168918
Cypress Primary School,533426,169417
Elmwood Junior School,531899,166938
Elmwood Infant School,531899,166938
Howard Primary School,532255,164547
Monks Orchard School,535862,167610
Ryelands Primary School,534919,167791
Purley Oaks Primary School,532675,163281
South Norwood Primary School,534121,168019
St Peter's Primary School,533097,163788
Winterbourne Junior Boys' School,531246,168384
Winterbourne Junior Girls' School,531246,168384
Winterbourne Nursery and Infants' School,531246,168384
Wolsey Junior School,538423,162936
Wolsey Infant School,538488,162969
Woodside Primary School and Children's Centre,534078,166848
Chipstead Valley Primary School,528288,159114
Kenley Primary School,533477,159145
Beaumont Primary School,531004,160459
Roke Primary School,532253,160266
Gresham Primary School,534004,161153
Smitham Primary School,529438,159363
The Hayes Primary School,531884,159210
Applegarth School,537538,163605
Park Hill Junior School,533096,165224
Wattenden Primary School,531520,159048
Orchard Way Primary School,536450,166733
Forestdale Primary School,536631,162965
Courtwood Primary School,536768,162439
Heavers Farm Primary School,533582,167776
Downsview Primary and Nursery School,532089,170181
Park Hill Infant School,533103,165267
Greenvale Primary School,535795,161822
Rockmount Primary School,532922,170668
Fairchildes Primary School,539271,161391
Norbury Manor Primary School,530283,169557
Castle Hill Primary School,538083,163637
All Saints CofE Primary School,533166,169871
St John's CofE Primary School,535847,165564
St Mark's CofE Primary School,534245,168413
Parish Church CofE Junior School,531669,165077
Parish Church CofE Nursery and Infant School,531669,165077
Coulsdon CofE Primary School,530879,158235
Christ Church CofE Primary School (Purley),531675,162092
Good Shepherd Catholic Primary School,537845,163368
St Joseph's RC Junior School,532238,170854
Margaret Roper Catholic Primary School,531024,162230
St Mary's RC Junior School,532644,166268
St Mary's Catholic Infant School,532625,166192
Regina Coeli Catholic Primary School,531891,163299
St Aidan's Catholic Primary School,529438,159363
St Chad's Catholic Primary School,533380,167845
St Joseph's RC Infant School,532253,170945
Westwood Girls' College for Languages and Arts,532610,170018
Addington High School,539321,161259
Archbishop Tenison's CofE High School,533615,165122
St Andrew's CofE Voluntary Aided High School,531669,165077
St Mary's Catholic High School,532461,166335
Selsdon Primary and Nursery School,535492,162668
Atwood Primary School,534231,160564
Edenham High School,536578,166771
Thomas More Catholic School,531024,162230
Coloma Convent Girls' School,535681,165164
The Archbishop Lanfranc School,530167,167455
Cumnor House School,531846,162735
Elmhurst School,532896,164358
Virgo Fidelis Preparatory School,532588,170889
Laleham Lea School,530162,162196
Royal Russell School,534777,163835
Whitgift School,532253,164047
Reedham Park School Limited,531147,160142
St David's School,530840,161520
Trinity School,535116,165787
Rutherford School,533758,164074
Croydon High School,535104,162023
Old Palace of John Whitgift School,531964,165395
New Life Christian School,531924,165683
Folly's End Christian School,533046,164602
BRIT School for Performing Arts and Technology,532834,167463
Bensham Manor School,532131,167909
St Giles School,531969,163571
Beckmead School,537389,166263
St Nicholas School,531027,160538
Red Gates School,536215,163294
Priory School,533612,168141
Maples Children's Centre,520760,180323
Grove House Children Centre,513041,180542
South Acton Childrens Centre,519925,179731
Greenfields Childrens Centre,512040,178895
Berrymede Junior School,519947,179646
Berrymede Infant School,519947,179646
East Acton Primary School,521103,180608
Oldfield Primary School,514747,183343
North Ealing Primary School,516812,182139
St John's Primary School,516340,180593
St Mark's Primary School,515260,179972
West Twyford Primary School,519171,183099
West Acton Primary School,519547,181243
Mayfield Primary School,514713,181489
Beaconsfield Primary and Nursery School,512363,179989
Coston Primary School,514489,182952
Downe Manor Primary School,510787,182863
Drayton Green Primary School,516345,180901
North Primary School,512947,180576
Ravenor Primary School,513414,182823
Selborne Primary School,515583,183332
Hambrough Primary School,512655,180075
Hobbayne Primary School,515486,181074
John Perryn Primary School,521131,181446
Southfield Primary School,521084,179487
Allenby Primary School,513496,181384
Blair Peach Primary School,512312,179996
Clifton Primary School,512382,178931
Dairy Meadow Primary School,513011,179361
Derwentwater Primary School,520204,180451
Durdans Park Primary School,512757,181747
Fielding Primary School,516659,179349
Gifford Primary School,512879,183165
Greenwood Primary School,514461,185172
Havelock Primary School,512898,179250
Horsenden Primary School,515394,184779
Willow Tree Primary School,512441,184719
Lady Margaret Primary School,512963,181786
Little Ealing Primary School,517493,179052
Oaklands Primary School,515915,179783
Perivale Primary School,517216,183407
Stanhope Primary School,514145,182174
Viking Primary School,511587,182837
Wolf Fields Primary School,512910,178713
Featherstone Primary and Nursery School,511470,178903
Three Bridges Primary School,513597,179239
Montpelier Primary School,517782,181877
Tudor Primary School,512183,180763
Hathaway Primary School,516000,181854
Brentside Primary School,515273,182094
Vicar's Green Primary School,517274,183120
Mount Carmel Catholic Primary School,517527,179037
Our Lady of the Visitation Catholic Primary School,514406,182097
St John Fisher Catholic Primary School,517181,183465
St Anselm's Catholic Primary School,512527,179388
St Gregory's Catholic Primary School,517570,181970
St Joseph's Catholic Primary School,515447,180385
St Raphael's Catholic Primary School,510877,183102
St Vincent's Catholic Primary School,519880,180631
Edward Betham Church of England Primary School,514489,182952
Villiers High School,512936,180128
Dormers Wells High School,513408,181163
Acton High School,519461,179847
The Cardinal Wiseman Catholic School,514424,181988
Wood End Infant School,514535,185161
Dormers Wells Junior School,513688,180684
Dormers Wells Infant School,513688,180684
Brentside High School,515266,182151
Greenford High School,513180,182618
The Ellen Wilkinson School for Girls,518894,181164
Northolt High School,512687,184974
Durston House School,517589,181129
Harvington Prep School,517557,181113
St Augustine's Priory,518547,181918
St Benedict's School,517571,181576
Barbara Speake Stage School,521169,180717
The Falcons School for Girls,518678,180051
Ealing College Upper School,516670,181156
The Sybil Elgar School,512800,179000
Notting Hill and Ealing High School,516928,181632
Clifton Lodge School,517508,180544
King Fahad Academy,521464,180656
The Japanese School,519435,180808
Greek Secondary School of London,530576,190736
Orchard House School,521040,179022
Avenue House School,516733,181110
Aston House School,517949,181311
The Eden School (Sda),518142,178114
Belvue School,513250,183799
Castlebar School,515994,181814
Mandeville School,512841,184842
John Chilton School,512120,184053
Springhallow School,516018,181255
St Ann's School,515381,180388
Enfield Secondary Tuition Centre,535080,194052
Capel Manor Primary School,534602,199562
Carterhatch Junior School,534567,197594
Carterhatch Infant School,534567,197594
Chase Side Primary School,532249,197316
The Eldon Federation Eldon Junior School,535069,194155
Eldon Infant School,535061,194221
Firs Farm Primary School,532811,193418
Fleecefield Primary School,534303,192871
Galliard Primary School,534411,195023
Garfield Primary School,529086,192213
George Spicer Primary School,533756,196492
Hadley Wood Primary School,526427,198404
Hazelbury Infant School,533311,193331
Hazelwood Junior School,531435,192682
Hazelwood Infant School,531435,192682
Honilands Primary School,534947,199455
Merryhills Primary School,530834,196478
Prince of Wales Primary School,536770,198543
The Raglan Junior School,533517,194889
Raglan Infant School,533476,194848
Suffolks Primary School,534629,197220
Tottenhall Infant School,531249,191940
Walker Primary School,529728,193491
Hazelbury Junior School,533277,193249
Houndsfield Primary School,534709,194642
Alma Primary School,535987,195797
Wilbury Primary School,532854,192121
Southbury Primary School,535099,196350
Lavender Primary School,532995,197977
Grange Park Primary School,530977,195990
Eastfield Primary School,535711,198153
Churchfield Primary School,533834,194136
Worcesters Primary School,533965,198317
Bowes Primary School,529879,192208
De Bohun Primary School,528719,195540
Raynham Primary School,534346,192236
Bush Hill Park Primary School,534127,195811
Eversley Primary School,530594,195529
St Michael at Bowes CofE Junior School,531297,191945
St John's CofE Primary School,531794,198989
Forty Hill CofE Primary School,534178,198690
St Andrew's CofE Primary School,533105,197208
St Andrew's Southgate Primary School (CofE),529664,194475
Freezywater St George's CofE Primary School,535716,199064
St John and St James CofE Primary School,533972,191952
St James CofE Primary School,535271,197210
St Michael's CofE Primary School,532321,197873
St Paul's CofE Primary School,531633,194592
St Mary's RC Primary School,535756,196174
St Edmunds Catholic Primary School,534676,194044
St George's RC Primary School,532834,197346
St Monica's RC Primary School,530216,193218
Our Lady of Lourdes Catholic Primary School,529136,192398
Latymer All Saints CofE Primary School,533785,193650
Wolfson Hillel Primary School,529669,195019
Edmonton County School,533832,194710
Winchmore School,532148,193892
Southgate School,528736,195890
Enfield County School,532660,196786
Chace Community School,533134,197520
Lea Valley High School,535460,199772
Bishop Stopford's School,534676,197189
St Anne's Catholic High School for Girls,531090,192526
St Matthew's CofE Primary School,535458,195673
The Latymer School,533405,193668
Broomfield School,529904,192375
St Ignatius College,534539,198919
Keble Preparatory School,531371,194684
Palmers Green High School,531324,193624
Grange Park Preparatory School,531880,195267
Salcombe School,529716,194678
Vita Et Pax School,528949,195640
St John's Preparatory and Senior School,527371,200059
Durants School,535182,197871
West Lea School,533135,193394
Aylands School,535421,199082
Oaktree School,528389,195437
Waverley School,535362,196491
Pembury House Nursery School,533973,190605
Rowland Hill Nursery School,532464,191409
Woodlands Park Nursery Centre,532059,188774
Haringey Pupil Referral Unit,530665,190898
Belmont Junior School,532117,189860
Belmont Infant School,532117,189860
Bounds Green Junior School,530010,191371
Bounds Green Infant School,530010,191371
Campsbourne Junior School,530199,189701
Campsbourne Infant School,530186,189628
Devonshire Hill Primary School,532986,191555
Earlsmead Primary School,533919,188987
Highgate Primary School,527936,188318
Lancasterian Primary School,533638,190953
Coldfall Primary School,527923,190269
Tetherdown Primary School,528127,189297
Rokesly Junior School,530372,188815
Rokesly Infant School,530372,188815
South Harringay Junior School,531592,188526
South Harringay Infant School & the Ladder Children's Centre,531649,188545
Stamford Hill Primary School,532881,188049
West Green Primary School,532173,189052
Tiverton Primary School,532741,188181
Coleridge Primary School,529869,187979
Welbourne Primary School,534040,189516
Lea Valley Primary School,534398,191220
Ferry Lane Primary School,534658,189183
Rhodes Avenue Primary School,529205,190797
Crowland Primary School,534027,188633
Weston Park Primary School,530869,188546
The Willow Primary School,532942,190328
St Aidan's Voluntary Controlled Primary School,531031,187951
St Michael's CofE Voluntary Aided Primary School,528221,187707
St James' CofE Primary School,528330,189117
St Mary's CofE Primary School,530676,189139
Our Lady of Muswell RC Primary School,528328,190003
St Francis de Sales RC Junior School,533829,191113
St Ignatius RC Primary School,533578,188225
St Mary's Priory RC Junior School,532704,188523
St Paul's RC Primary School,530647,190404
St Mary's Priory RC Infant School,532704,188523
St Peter-in-Chains RC Infant School,530431,188047
St Francis de Sales RC Infant School,533831,191178
St Martin of Porres RC Primary School,529363,191548
St Gildas' RC Junior School,530347,187996
St John Vianney RC Primary School,531938,189139
Hornsey School for Girls,530709,188684
Highgate Wood Secondary School,529449,188604
Northumberland Park Community School,534215,191340
Fortismere School,528180,189842
Gladesmore Community School,534098,188572
Channing School,528715,187337
Highgate School,528337,187571
Norfolk House School,528741,190082
The John Loughborough School,533962,189998
Sunrise Primary School,534054,191565
North London Rudolf Steiner School,530339,189363
Beis Chinuch Lebonos Girls School,532381,187518
The London School for Children With Cerebral Palsy,528941,189738
Excelsior College,533216,191410
Blanche Nevile School,528067,190032
Vale School,534215,191340
The Brook School,532975,190322
Riverside School,531884,191354
Harrow Tuition Service,514880,189993
"Newton Farm Nursery, Infant and Junior School",512751,186853
Whitefriars Community School,515030,190087
Roxeth Primary School,514880,186903
Marlborough Primary School,515062,189176
Grimsdyke School,512522,191622
Camrose Primary With Nursery,518642,190777
Belmont School,515938,190307
Cannon Lane Junior School,511772,188117
Kenmore Park Junior School,518049,189732
Pinner Park Junior School,513787,189949
Priestmead Primary School and Nursery,516813,189875
Stag Lane Junior School,519231,190411
Stanburn Junior School,517199,191102
Longfield Primary School,513061,188104
Weald Junior School,515645,191154
Grange Primary School,513848,187215
Heathland School,513025,186247
Cannon Lane First School (4-7 Years),511772,188117
Pinner Park Infant and Nursery School,513787,189949
Stag Lane Infant and Nursery School,519215,190371
Elmgrove Primary School & Nursery,516269,189135
Kenmore Park Infant and Nursery School,518049,189732
Roxbourne Primary School,512138,186828
Stanburn First School 4-7 Years,517199,191102
