Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing,lat,lng
,,St Joseph's RC Primary School,Mixed,Wandsworth,,SW15 2QD,11,3,90 Oakhill Road,London,Voluntary Aided School,525119,174894,51.45920392970858,-0.20043411678152284
,,St Mary's CofE Primary School,Mixed,Wandsworth,Putney,SW15 1BA,11,3,Felsham Road,London,Voluntary Aided School,523670,175603,51.46589399334131,-0.22103215370940166
,,Trinity St Mary's CofE Primary School,Mixed,Wandsworth,,SW12 8DR,11,3,6 Balham Park Road,London,Voluntary Aided School,528296,173119,51.442541703775134,-0.15537312767997305
,,St Mary's RC Voluntary Aided Primary School,Mixed,Wandsworth,Battersea,SW8 4BE,11,4,Lockington Road,London,Voluntary Aided School,528837,176954,51.47688345863292,-0.1461973040415054
,,St Michael's CofE Primary School,Mixed,Wandsworth,Southfields,SW18 5SQ,11,4,Granville Road,London,Voluntary Aided School,524889,173911,51.45042034604728,-0.20408969331705668
,,"Sacred Heart Catholic Primary School, Roehampton",Mixed,Wandsworth,Roehampton,SW15 5NX,11,3,Roehampton Lane,London,Voluntary Aided School,522257,174642,51.45756396078661,-0.24169521069775818
,,Our Lady Queen of Heaven RC School,Mixed,Wandsworth,Wimbledon,SW19 6AD,11,3,Victoria Drive,London,Voluntary Aided School,523701,173544,51.44738259455745,-0.22130556711295313
,,St Anselm's Catholic Primary School,Mixed,Wandsworth,Tooting Bec,SW17 8BS,11,4,19 Tooting Bec Road,London,Voluntary Aided School,528163,172354,51.43569680696822,-0.15756242576435736
,,Ernest Bevin College,Boys,Wandsworth,Tooting,SW17 7DF,18,11,Beechcroft Road,London,Community School,527431,172548,51.437605259296554,-0.1680177674224437
,,Battersea Park School,Mixed,Wandsworth,,SW11 5AP,19,11,401 Battersea Park Road,London,Foundation School,527924,176527,51.47325308980204,-0.15949113040792123
,,Hillbrook School,Mixed,Wandsworth,Tooting,SW17 8SG,11,3,Hillbrook Road,London,Foundation School,528119,171797,51.43070103736424,-0.15839638970369221
,,Burntwood School,Girls,Wandsworth,,SW17 0AQ,18,11,Burntwood Lane,London,Foundation School,526616,172577,51.43804847165459,-0.1797264831242112
,,Ibstock Place School,Mixed,Wandsworth,Roehampton,SW15 5PY,18,3,Clarence Lane,London,Other Independent School,521520,174288,51.45454098866626,-0.25241925736635584
,,Merlin School,Mixed,Wandsworth,Putney,SW15 2BZ,8,4,4 Carlton Drive,London,Other Independent School,524005,174649,51.457246998372966,-0.21654628760159256
,,Hurlingham School,Mixed,Wandsworth,,SW15 2NQ,11,4,122 Putney Bridge Road,London,Other Independent School,524512,175308,51.4630583274755,-0.20902092874862896
,,Willington School,Boys,Merton,Wimbledon,SW19 7QQ,13,4,Worcester Road,London,Other Independent School,524889,171025,51.424483454006754,-0.20510668652185945
,,Putney Park School,Mixed,Wandsworth,,SW15 6PY,16,4,Woodborough Road,London,Other Independent School,522766,175138,51.46191157936073,-0.23420072312564452
,,Emanuel School,Mixed,Wandsworth,,SW11 1HS,19,10,Battersea Rise,London,Other Independent School,527042,174633,51.45643039083144,-0.17286345627995967
,,Putney High School,Girls,Wandsworth,,SW15 6BH,18,4,35 Putney Hill,London,Other Independent School,523900,174602,51.45684757167959,-0.21807323825356426
Streatham,,Waldorf School of South West London,Mixed,Lambeth,Riggindale Road,SW16 1QH,15,3,Streatham Methodist Church,London,Other Independent School,529608,171393,51.426732026057174,-0.13713704393741033
,,Broomwood Hall School,Mixed,Wandsworth,,SW12 8NR,13,4,68-74 Nightingale Lane,London,Other Independent School,528034,173974,51.450284739328225,-0.15883180901612795
,,The Roche School,Mixed,Wandsworth,Wandsworth,SW18 1HW,11,2,11 Frogmore,London,Other Independent School,525314,174895,51.45916981875954,-0.1976284565529415
,,Finton House School,Mixed,Wandsworth,,SW17 7HL,11,4,171 Trinity Road,London,Other Independent School,527583,172931,51.44101307669735,-0.1656942446986789
,,The Dominie,Mixed,Wandsworth,Battersea,SW11 4DX,13,6,55 Warriner Gardens,London,Other Independent Special School,528056,176680,51.474598242543976,-0.15753621334919254
,,Hornsby House School,Mixed,Wandsworth,,SW12 8RS,11,5,Hearnville Road,London,Other Independent School,528208,173365,51.44477238879833,-0.1565495971891432
,,Bertrum House School,Mixed,Wandsworth,,SW17 7AL,7,2,290 Balham High Road,London,Other Independent School,528098,172561,51.4375717862639,-0.15842221067172546
,,Eveline Day School,Mixed,Wandsworth,207 Balham High Road,SW17 7BQ,11,2,Swan House,London,Other Independent School,528341,172882,51.44040162531645,-0.1548118463634156
,,Prospect House School,Mixed,Wandsworth,,SW15 3NT,11,2,75 Putney Hill,London,Other Independent School,523728,173976,51.45125917308284,-0.22076631677599193
,,Newton Preparatory School,Mixed,Wandsworth,,SW8 4BX,13,3,149 Battersea Park Road,London,Other Independent School,528870,176969,51.4770107502333,-0.14571692342352335
,,Dolphin School (Incorporating Noahs Ark Nursery Schools),Mixed,Wandsworth,Battersea,SW11 6QW,11,2,106 Northcote Road,London,Other Independent School,527511,174727,51.457169809402465,-0.16608300108732613
,,Hall School Wimbledon,Mixed,Wandsworth,Wimbledon,SW20 8HF,16,4,17 The Downs,London,Other Independent School,522190,172303,51.436557085189065,-0.2434659325094724
,,Lion House School,Mixed,Wandsworth,Gwendolen Avenue,SW15 6EH,7,5,Old Methodist Hall,London,Other Independent School,523592,175152,51.46185779657985,-0.22231197007474499
Northside,,Eaton House the Manor School,Mixed,Wandsworth,,SW4 9RU,13,2,"The Manor, 58 Clapham Common",London,Other Independent School,528543,175257,51.4616996427471,-0.15104500511008637
,,Northcote Lodge School,Boys,Wandsworth,,SW11 6EL,13,7,26 Bolingbroke Grove,London,Other Independent School,527584,174151,51.45197691040553,-0.16524043853920284
,,Al-Risalah,Mixed,Wandsworth,,SW17 7TJ,16,3,145 Upper Tooting Road,London,Other Independent School,527762,171982,51.43244416085808,-0.16346229001538126
Northside,,Parkgate House School,Mixed,Wandsworth,Clapham Common,SW4 9SD,10,2,80 Clapham Common,London,Other Independent School,528332,175241,51.461603691944255,-0.1540863822004517
,,Linden Lodge School,Mixed,Wandsworth,Wimbledon Park,SW19 6JB,19,2,61 Princes Way,London,Community Special School,524284,173151,51.4437230984475,-0.21305839276199956
,,Oak Lodge School,Mixed,Wandsworth,Balham,SW12 8NA,19,11,101 Nightingale Lane,London,Community Special School,528065,173793,51.44865110727294,-0.15845138465156364
,Kent,Bradstow School,Mixed,Wandsworth,,CT10 1BY,19,6,34 Dumpton Park Drive,Broadstairs,Community Special School,639432,167136,51.352815852135954,1.4373110470334722
,,Greenmead School,Mixed,Wandsworth,Putney,SW15 6HL,11,2,St Margaret's Crescent,London,Community Special School,522805,174823,51.45907214307256,-0.2337489115963715
,,Paddock School,Mixed,Wandsworth,,SW15 5RT,19,2,Priory Lane,London,Community Special School,521689,175313,51.463716732702075,-0.24963579444315687
Wandsworth,,Garratt Park School,Mixed,Wandsworth,Earlsfield,SW18 3TB,18,11,Waldron Road,London,Community Special School,526164,172467,51.43716065617989,-0.18626514654751486
,,Tachbrook Nursery School,Mixed,Westminster,,SW1V 3RN,5,3,Aylesford Street,London,LA Nursery School,529730,178159,51.48750854117343,-0.13290368810072023
,,Dorothy Gardner Centre,Mixed,Westminster,,W9 3JY,5,3,289-293 Shirland Road,London,LA Nursery School,524835,182642,51.52889822292517,-0.2017817596265889
,,Mary Paterson Nursery School,Mixed,Westminster,Off Ashmore Road,W9 3DS,5,3,13 Riverton Close,London,LA Nursery School,524829,182547,51.52804578433728,-0.20190184544917456
,,Barrow Hill Junior School,Mixed,Westminster,St John's Wood,NW8 7AL,11,7,Bridgeman Street,London,Community School,527092,183132,51.532798714127495,-0.1690863298987786
,,Paddington Green Primary School,Mixed,Westminster,,W2 1SP,11,3,Park Place Villas,London,Community School,526509,182030,51.523026010060924,-0.17788232006083235
,,Churchill Gardens Community Primary School,Mixed,Westminster,Pimlico,SW1V 3EU,11,3,Ranelagh Road,London,Community School,529265,178131,51.487363307628485,-0.13960742383784588
,,Edward Wilson Primary School,Mixed,Westminster,,W2 5TL,11,3,Senior Street,London,Community School,525705,181829,51.521399004391085,-0.1895365472622537
,,Essendine Primary School,Mixed,Westminster,,W9 2LR,11,3,Essendine Road,London,Community School,525311,182561,51.52806493600764,-0.19495228284037133
,,Gateway Primary School,Mixed,Westminster,,NW8 8LN,11,3,Capland Street,London,Community School,526953,182355,51.525847189911474,-0.17136901388184608
,,Wilberforce Primary School,Mixed,Westminster,,W10 4LB,11,3,Beethoven Street,London,Community School,524383,182958,51.531837781416094,-0.2081827713393824
,,George Eliot Primary School,Mixed,Westminster,,NW8 0NH,11,3,Marlborough Hill,London,Community School,526535,183794,51.538873015015845,-0.17687454647754497
,,Hallfield Primary School,Mixed,Westminster,,W2 6JJ,11,3,Hallfield Estate,London,Community School,525940,181017,51.51404931324048,-0.1864410982783947
,,Robinsfield Infant School,Mixed,Westminster,,NW8 6PX,7,3,Ordnance Hill,London,Community School,527037,183464,51.53579470604878,-0.1697591601446341
,,Queen's Park Primary School,Mixed,Westminster,,W10 4DQ,11,3,Droop Street,London,Community School,524394,182467,51.52742273464145,-0.20819752525884197
,,All Souls CofE Primary School,Mixed,Westminster,,W1W 7JJ,11,3,Foley Street,London,Voluntary Aided School,529242,181745,51.519846539969336,-0.13861551566809208
,,Burdett-Coutts and Townshend Foundation CofE Primary School,Mixed,Westminster,,SW1P 2QQ,11,3,Rochester Street,London,Voluntary Aided School,529548,179003,51.49513501413433,-0.1352140245532121
,,Hampden Gurney CofE Primary School,Mixed,Westminster,,W1H 5HA,11,3,13 Nutford Place,London,Voluntary Aided School,527459,181362,51.516809404204345,-0.16443797106992747
,,Our Lady of Dolours RC Primary School,Mixed,Westminster,Paddington,W2 5SR,11,3,19 Cirencester Street,London,Voluntary Aided School,525575,181820,51.52134701503594,-0.19141249483113157
,,St Augustine's CofE Primary School,Mixed,Westminster,,NW6 5XA,11,3,Kilburn Park Road,London,Voluntary Aided School,525528,183286,51.53453230686064,-0.19156760136626305
,,St Barnabas' CofE Primary School,Mixed,Westminster,Pimlico,SW1W 8PF,11,4,St Barnabas Street,London,Voluntary Aided School,528421,178462,51.49053007357329,-0.1516362135608299
,,St Clement Danes CofE Primary School,Mixed,Westminster,,WC2B 5SU,11,3,Drury Lane,London,Voluntary Aided School,530611,181081,51.51356481063985,-0.11914134870874267
,,St Edward's RC Primary School,Mixed,Westminster,,NW1 6LH,11,3,Lisson Grove,London,Voluntary Aided School,527354,182085,51.523330537528025,-0.1656893489805775
,,St Gabriel's CofE Primary School,Mixed,Westminster,,SW1V 3AG,11,5,Churchill Gardens Road,London,Voluntary Aided School,529064,178013,51.486348742086975,-0.14254383248734845
,,St George's Hanover Square CofE Primary School,Mixed,Westminster,,W1K 2XH,11,5,South Street,London,Voluntary Aided School,528476,180499,51.50882365201758,-0.15010335443109762
,,Soho Parish CofE Primary School,Mixed,Westminster,,W1D 7LF,11,4,23 Great Windmill Street,London,Voluntary Aided School,529559,180851,51.51173989803313,-0.1343775035457814
,,St James's and St Michael's CofE Voluntary Aided Primary School,Mixed,Westminster,,W2 3QD,11,4,4 Craven Terrace,London,Voluntary Aided School,526422,180910,51.51298015476425,-0.17953703569832616
,,St Joseph's RC Primary School,Mixed,Westminster,Maida Vale,W9 1DF,11,3,Lanark Road,London,Voluntary Aided School,526196,182511,51.52741867185226,-0.18221930349695512
,,St Luke's CofE Primary School,Mixed,Westminster,,W9 3EJ,11,5,Fernhead Road,London,Voluntary Aided School,524741,183012,51.532244165337616,-0.20300519823673394
Paddington,,St Mary Magdalene CofE Primary School,Mixed,Westminster,Warwick Estate,W2 5TF,11,3,Rowington Close,London,Voluntary Aided School,525683,181957,51.52255422426264,-0.18980785846330536
,,St Mary's Bryanston Square CofE School,Mixed,Westminster,,W1H 1DL,11,3,Enford Street,London,Voluntary Aided School,527546,181766,51.52042045582279,-0.16303874161298337
,,St Mary of the Angels RC Primary School,Mixed,Westminster,Bayswater,W2 5PR,11,3,Shrewsbury Road,London,Voluntary Aided School,525132,181428,51.517922352415695,-0.19793330216963495
,,"St Matthew's School, Westminster",Mixed,Westminster,Westminster,SW1P 2DG,11,3,16-18 Old Pye Street,London,Voluntary Aided School,529827,179261,51.49738963026628,-0.13110243888063935
,,St Peter's CofE School,Mixed,Westminster,Paddington,W9 2AN,11,5,Chippenham Mews,London,Voluntary Aided School,525183,182121,51.52413903678252,-0.1969527017149363
,,St Peter's Eaton Square CofE Primary School,Mixed,Westminster,,SW1W 0NL,11,3,Lower Belgrave Street,London,Voluntary Aided School,528736,179092,51.496120167467616,-0.14687200188239888
,,St Saviour's CofE Primary School,Mixed,Westminster,Maida Vale,W9 2JD,11,3,Shirland Road,London,Voluntary Aided School,525889,182081,51.523622762979684,-0.1867959475311553
,,St Stephen's CofE Primary School,Mixed,Westminster,,W2 5QH,11,3,91 Westbourne Park Road,London,Voluntary Aided School,525274,181553,51.519014277697906,-0.19584344905417095
,,St Vincent's RC Primary School,Mixed,Westminster,,W1U 4DF,11,3,St Vincent Street,London,Voluntary Aided School,528270,181584,51.51862105342288,-0.15267562193127598
,,St Vincent de Paul RC Primary School,Mixed,Westminster,,SW1P 1EP,11,3,Morpeth Terrace,London,Voluntary Aided School,529206,179068,51.495797351807106,-0.14011402802171266
,,Westminster Cathedral RC Primary School,Mixed,Westminster,,SW1V 3SE,11,5,Bessborough Place,London,Voluntary Aided School,529777,178296,51.488728943968965,-0.13217682914640294
,,Christ Church Bentinck CofE Primary School,Mixed,Westminster,,NW1 5NS,11,3,Cosway Street,London,Voluntary Aided School,527312,181875,51.521452766392194,-0.16637021477451286
,,St Augustine's CofE High School,Mixed,Westminster,,NW6 5SN,18,11,Oxford Road,London,Voluntary Aided School,525469,183256,51.53427580328929,-0.19242846409062606
,,Arnold House School,Boys,Westminster,St John's Wood,NW8 0LH,13,5,1-3 Loudoun Road,London,Other Independent School,526561,183245,51.53393340999965,-0.17669703179763985
,,Queen's College London,Girls,Westminster,,W1G 8BT,18,4,43-49 Harley Street,London,Other Independent School,528666,181576,51.51845917350721,-0.14697436002098457
,,Francis Holland School,Girls,Westminster,Ivor Place,NW1 6XR,18,11,Clarence Gate,London,Other Independent School,527724,182244,51.52467595323732,-0.1603015073305821
,,Westminster Abbey Choir School,Boys,Westminster,,SW1P 3NY,13,8,Dean's Yard,London,Other Independent School,529927,179412,51.498723661950926,-0.129607121391052
,,Eaton House School,Boys,Westminster,Eaton Square,SW1W 9BA,7,5,3-5 Eaton Gate,London,Other Independent School,528183,178867,51.494223690318584,-0.1549154397448838
,,Francis Holland School,Girls,Westminster,,SW1W 8JF,18,4,39 Graham Terrace,London,Other Independent School,528263,178574,51.49157242841547,-0.15387007185079948
,,Westminster School,Mixed,Westminster,,SW1P 3PF,19,12,Little Dean's Yard,London,Other Independent School,530047,179360,51.49822878391586,-0.12789850295233637
,,Gems Hampshire School,Mixed,Kensington and Chelsea,Chelsea,SW3 6NB,13,2,15 Manresa Road,London,Other Independent School,527144,179533,51.500443368229085,-0.16963411961536268
,,Connaught House School,Mixed,Westminster,,W2 2HL,11,4,47 Connaught Square,London,Other Independent School,527570,181036,51.51385466824199,-0.16295699614314008
,,Westminster Under School,Boys,Westminster,Pimlico,SW1P 2NN,14,7,27 Vincent Square,London,Other Independent School,529634,178630,51.49176327751377,-0.1341127633281542
,,Westminster Cathedral Choir School,Boys,Westminster,,SW1P 1QH,14,7,Ambrosden Avenue,London,Other Independent School,529231,179110,51.49616908482335,-0.13973873026373268
,,The American School in London,Mixed,Westminster,,NW8 0NP,18,4,1 Waverley Place,London,Other Independent School,526542,183346,51.53484533779941,-0.17693454875457662
,,St Christina's School,Mixed,Westminster,Primrose Hill,NW8 7PY,11,3,25 St Edmund's Terrace,London,Other Independent School,527431,183481,51.53585875605549,-0.16407545173618618
,,International Community School,Mixed,Westminster,Regents Park,NW1 4PT,19,3,4 York Terrace East,London,Other Independent School,528286,182168,51.523865686110845,-0.1522327299970119
,,The Sylvia Young Theatre School,Mixed,Westminster,,W1H 5YZ,16,10,1 Nutford Place,London,Other Independent School,527584,181403,51.51714966990592,-0.16262263785788317
,,Fairley House School,Mixed,Westminster,,SW1P 4AU,14,5,30 Causton Street,London,Other Independent Special School,529819,178495,51.49050766362472,-0.13149912699007607
,,St John's Wood Pre-Preparatory School,Mixed,Westminster,,NW8 7NE,7,3,Lord's Roundabout,London,Other Independent School,527164,182912,51.53080541625602,-0.16812824139244711
,,Centre Academy London,Mixed,Wandsworth,Battersea,SW11 1SH,19,9,92 St John's Hill,London,Other Independent Special School,526882,175144,51.46105858097984,-0.17498190594311128
,,Naima Jewish Preparatory School,Mixed,Westminster,,NW6 5ED,11,3,21 Andover Place,London,Other Independent School,525633,183266,51.534329231823975,-0.1900616959645511
,,Abercorn School,Mixed,Westminster,,NW1 6JF,13,2,248 Marylebone Road,London,Other Independent School,527475,181860,51.52128123072591,-0.164027536357359
,,Eaton Square School,Mixed,Westminster,,SW1V 1PP,13,2,79 Eccleston Square,London,Other Independent School,529044,178732,51.49281477687679,-0.14256912840136418
,,Bales College,Mixed,Westminster,,W10 4AA,18,13,742 Harrow Road,London,Other Independent School,523896,182571,51.528466777320425,-0.21533606201130184
,,College Park School,Mixed,Westminster,,W2 4PH,19,5,Garway Road,London,Community Special School,525551,181088,51.51477389483832,-0.19201875582290365
,,Queen Elizabeth II Jubilee School,Mixed,Westminster,,W9 3LG,19,5,Kennet Road,London,Community Special School,524809,182251,51.52539005155457,-0.20229478131100959
,Essex,The James Cambell Primary School,Mixed,Barking and Dagenham,,RM9 6TD,11,3,Langley Crescent,Dagenham,Community School,547691,184072,51.53623656271261,0.12807961913922933
,Essex,Dorothy Barley Junior School and Special Needs Base (MLD),Mixed,Barking and Dagenham,,RM8 2NB,11,7,Ivinghoe Road,Dagenham,Community School,546774,185234,51.54691642215673,0.11535189628464416
,Essex,Dorothy Barley Infants' School,Mixed,Barking and Dagenham,,RM8 2LL,7,3,Davington Road,Dagenham,Community School,546774,185234,51.54691642215673,0.11535189628464416
,Essex,Eastbury Primary School,Mixed,Barking and Dagenham,,IG11 9QQ,11,3,Dawson Avenue,Barking,Community School,545822,184040,51.53643453591337,0.10113812139003495
,Essex,Manor Junior School,Mixed,Barking and Dagenham,,IG11 9AG,11,7,Sandringham Road,Barking,Community School,545828,184731,51.542641864464244,0.10151059737747697
,Essex,Manor Infants' School/Manor Longbridge,Mixed,Barking and Dagenham,,IG11 9AG,11,3,Sandringham Road,Barking,Community School,545828,184731,51.542641864464244,0.10151059737747697
,Essex,Northbury Junior School,Mixed,Barking and Dagenham,,IG11 8JA,11,7,North Street,Barking,Community School,544013,184537,51.54136436110426,0.07527694601684103
,Essex,Northbury Infants' School,Mixed,Barking and Dagenham,,IG11 8JA,7,3,North Street,Barking,Community School,544013,184537,51.54136436110426,0.07527694601684103
,Essex,Ripple Primary School,Mixed,Barking and Dagenham,,IG11 7QS,11,3,Suffolk Road,Barking,Community School,545104,183966,51.53595448368138,0.09076268366554796
,Essex,Beam Primary School,Mixed,Barking and Dagenham,,RM10 9ED,11,3,Oval Road North,Dagenham,Community School,550210,183257,51.52824966641892,0.16402442295714142
,Essex,Furze Infants' School,Mixed,Barking and Dagenham,Chadwell Heath,RM6 6ES,7,3,Bennett Road,Romford,Community School,548410,188015,51.57147642745944,0.14010107130967808
,Essex,Grafton Primary School,Mixed,Barking and Dagenham,,RM8 3EX,11,3,Grafton Road,Dagenham,Community School,548487,186607,51.55880517512345,0.14061698013131202
,Essex,Marks Gate Infants' School,Mixed,Barking and Dagenham,Chadwell Heath,RM6 5LL,7,3,Lawn Farm Grove,Romford,Community School,548194,189545,51.58528037431457,0.13763167903657353
,Essex,Marsh Green Primary School,Mixed,Barking and Dagenham,,RM10 9NJ,11,3,South Close,Dagenham,Community School,549365,183556,51.531160175962135,0.15197900457642186
,Essex,Rush Green Junior School,Mixed,Barking and Dagenham,Rush Green,RM7 0RL,11,3,Dagenham Road,Romford,Community School,550976,187161,51.56312260873807,0.17673207198466337
,Essex,Rush Green Infants' School,Mixed,Barking and Dagenham,,RM7 0TL,7,3,Dagenham Road,Romford,Community School,550932,187209,51.563565650702806,0.1761183749595979
,Essex,The Leys Primary School,Mixed,Barking and Dagenham,,RM10 9YR,11,3,Leys Avenue,Dagenham,Community School,550461,184093,51.53569433178022,0.167996906328633
,Essex,Warren Junior School,Mixed,Barking and Dagenham,Chadwell Heath,RM6 6DA,11,7,Gordon Road,Romford,Community School,548573,188552,51.57625850749163,0.14267822774553757
,Essex,Thomas Arnold Primary School,Mixed,Barking and Dagenham,,RM9 6NH,11,3,Rowdowns Road,Dagenham,Community School,548866,184187,51.53696146091024,0.14505703004008438
,Essex,Valence Primary School,Mixed,Barking and Dagenham,,RM8 3AR,11,3,Bonham Road,Dagenham,Community School,547891,186499,51.55799123726213,0.13198042222248163
,Essex,Village Infants' School,Mixed,Barking and Dagenham,,RM10 9JS,7,3,Ford Road,Dagenham,Community School,549383,184397,51.538711853158716,0.15259482283490228
,Essex,Marks Gate Junior School,Mixed,Barking and Dagenham,Chadwell Heath,RM6 5NJ,11,7,Rose Lane,Romford,Community School,548069,189608,51.58587926655996,0.1358553447020592
,Essex,Thames View Junior School,Mixed,Barking and Dagenham,,IG11 0LG,11,7,Bastable Avenue,Barking,Community School,546165,183070,51.527630123371644,0.1056777673016334
,Essex,William Bellamy Primary School,Mixed,Barking and Dagenham,,RM10 7HX,11,3,Frizlands Lane,Dagenham,Community School,549437,186675,51.55916546925568,0.1543396761352332
,Essex,Parsloes Primary School,Mixed,Barking and Dagenham,,RM9 5RH,11,3,Spurling Road,Dagenham,Community School,548794,184928,51.54363838814518,0.14433265454621028
,Essex,Five Elms Primary School,Mixed,Barking and Dagenham,,RM9 5TB,11,3,Wood Lane,Dagenham,Community School,548829,186204,51.555094129819196,0.14537635753752323
,Essex,Henry Green Primary School,Mixed,Barking and Dagenham,,RM8 1UR,11,3,Green Lane,Dagenham,Community School,547581,186917,51.56182816477943,0.12768723613537206
,Essex,Roding Primary School,Mixed,Barking and Dagenham,,RM8 2XS,11,3,Hewett Road,Dagenham,Community School,547522,185528,51.54936317307431,0.12625453242327664
,Essex,Becontree Primary School,Mixed,Barking and Dagenham,,RM8 2QR,11,3,Stevens Road,Dagenham,Community School,546884,186340,51.556825498766685,0.11739857467968143
,Essex,John Perry Primary School,Mixed,Barking and Dagenham,,RM10 8UR,11,3,Charles Road,Dagenham,Community School,550639,184798,51.5419812857281,0.1708628072833083
,Essex,St Margarets CofE Primary School,Mixed,Barking and Dagenham,,IG11 8AS,11,3,15-19 North Street,Barking,Voluntary Aided School,544043,184012,51.53663932477222,0.07549459092312251
,Essex,William Ford CofE Primary School,Mixed,Barking and Dagenham,,RM10 9JS,11,3,Ford Road,Dagenham,Voluntary Aided School,549383,184397,51.538711853158716,0.15259482283490228
,Essex,St Joseph's Catholic Primary School,Mixed,Barking and Dagenham,,IG11 7AR,11,3,The Broadway,Barking,Voluntary Aided School,544156,183775,51.53448094005584,0.07702576731662113
,Essex,St Joseph's Catholic Primary School,Mixed,Barking and Dagenham,,RM9 5UL,11,3,Connor Road,Dagenham,Voluntary Aided School,548737,185898,51.55236893987365,0.14392102327996806
,Essex,St Peter's Catholic Primary School,Mixed,Barking and Dagenham,,RM9 6UU,11,3,Goresbrook Road,Dagenham,Voluntary Aided School,548838,183622,51.531892252797604,0.1444149824673032
,Essex,The St Teresa Catholic Primary School,Mixed,Barking and Dagenham,,RM8 2XJ,11,3,Bowes Road,Dagenham,Voluntary Aided School,547411,185611,51.55013793165903,0.12468957122521201
,Essex,St Vincent's Catholic Primary School,Mixed,Barking and Dagenham,,RM8 2JN,11,3,Burnside Road,Dagenham,Voluntary Aided School,547206,186684,51.55983253802771,0.12218384451393938
,Essex,The Warren Comprehensive School,Mixed,Barking and Dagenham,Chadwell Heath,RM6 6SB,18,11,Whalebone Lane North,Romford,Community School,548476,188616,51.57685908864359,0.14130650272942538
,Essex,"Barking Abbey School, A Specialist Sports and Humanities College",Mixed,Barking and Dagenham,,IG11 9AG,18,11,Sandringham Road,Barking,Community School,545828,184731,51.542641864464244,0.10151059737747697
,Essex,Eastbrook Comprehensive School,Mixed,Barking and Dagenham,,RM10 7UR,18,11,Dagenham Road,Dagenham,Community School,550112,185839,51.55147494807522,0.16371296306968608
,Essex,Eastbury Comprehensive School,Mixed,Barking and Dagenham,,IG11 9UW,18,11,Hulse Avenue,Barking,Community School,545048,184690,51.54247430475468,0.09025392017527173
,Essex,Robert Clack School,Mixed,Barking and Dagenham,,RM8 1JU,18,11,Gosfield Road,Dagenham,Community School,548825,186950,51.561798042532864,0.1456341914454744
,Essex,The Sydney Russell School,Mixed,Barking and Dagenham,,RM9 5QT,18,11,Parsloes Avenue,Dagenham,Community School,547963,185474,51.548762594842515,0.13258742357519987
,Essex,All Saints Catholic School and Technology College,Mixed,Barking and Dagenham,Wood Lane,RM8 1JT,18,11,Terling Road,Dagenham,Voluntary Aided School,549215,187064,51.562719370547015,0.15130458731865837
,Hertfordshire,Brookhill Nursery School,Mixed,Barnet,East Barnet,EN4 8SD,5,3,Brookhill Road,Barnet,LA Nursery School,527087,195626,51.64507993118432,-0.16463877477266084
,,Hampden Way Nursery School,Mixed,Barnet,Southgate,N14 5DJ,5,3,Hampden Way,London,LA Nursery School,528689,194167,51.63160457685294,-0.14203462081391005
,,Moss Hall Nursery School,Mixed,Barnet,Finchley,N3 1NR,5,3,189 Nether Street,London,LA Nursery School,525668,191761,51.61066475620046,-0.1865215795363263
,Hertfordshire,St Margaret's Nursery School,Mixed,Barnet,New Barnet,EN4 9NT,5,3,Margaret Road,Barnet,LA Nursery School,526828,196062,51.649056530461934,-0.1682220225628265
,,Pavilion Study Centre,Mixed,Barnet,Whetstone,N20 9DX,16,12,586 Chandos Avenue,London,Pupil Referral Unit,526783,194420,51.63431058959235,-0.16946645643453956
,,Parkfield Primary School,Mixed,Barnet,Hendon,NW4 3UB,11,3,St David's Place,London,Community School,522584,187917,51.57679793624903,-0.23237828551818485
,,Barnfield Primary School,Mixed,Barnet,,HA8 0DA,11,3,Silkstream Road,Edgware,Community School,520286,190526,51.60074016153945,-0.2646308282652648
,,Bell Lane Primary School,Mixed,Barnet,Hendon,NW4 2AS,11,3,Bell Lane,London,Community School,523677,189134,51.58749654820664,-0.21618520772835836
,,Brookland Junior School,Mixed,Barnet,Hampstead Garden Suburb,NW11 6EJ,11,7,Hill Top,London,Community School,525598,189486,51.59023537367464,-0.18834580765799258
,,Brookland Infant and Nursery School,Mixed,Barnet,Hampstead Garden Suburb,NW11 6EJ,7,3,Hill Top,London,Community School,525598,189486,51.59023537367464,-0.18834580765799258
,,Brunswick Park Primary and Nursery School,Mixed,Barnet,Southgate,N14 5DU,11,3,Osidge Lane,London,Community School,528271,194004,51.63023514491098,-0.14813030019791665
,,Childs Hill School,Mixed,Barnet,Cricklewood,NW2 1SL,11,3,Dersingham Road,London,Community School,524390,186337,51.56220327066532,-0.2068884328338145
,Hertfordshire,Church Hill School,Mixed,Barnet,East Barnet,EN4 8NN,11,4,Burlington Rise,Barnet,Community School,527487,194545,51.635274948119786,-0.1592543586258815
,,Colindale Primary School,Mixed,Barnet,Colindale,NW9 6DT,11,3,Clovelly Avenue,London,Community School,521535,189221,51.588744093601846,-0.2470577557650195
,,Coppetts Wood Primary School,Mixed,Barnet,Friern Barnet,N10 1JS,11,3,Coppetts Road,London,Community School,528083,190944,51.6027789416719,-0.1519623763751075
